UniProt ID,Gene,Protein name,
P14384,CPM,Carboxypeptidase M,
P14415,ATP1B2,Sodium/potassium-transporting ATPase subunit beta-2,
P14416,DRD2,D(2) dopamine receptor,
P14543,NID1,Nidogen-1,
P14550,AKR1A1,Aldo-keto reductase family 1 member A1,
P14555,PLA2G2A,Phospholipase A2,
P14625,HSP90B1,Endoplasmin,
P14649,MYL6B,Myosin light chain 6B,
P14651,HOXB3,Homeobox protein Hox-B3,
P14778,IL1R1,Interleukin-1 receptor type 1,
P14780,MMP9,Matrix metalloproteinase-9,
P14784,IL2RB,Interleukin-2 receptor subunit beta,
P14854,COX6B1,Cytochrome c oxidase subunit 6B1,
P14868,DARS1,Aspartate--tRNA ligase,
P14902,IDO1,Indoleamine 2,
P15018,LIF,Leukemia inhibitory factor,
P15085,CPA1,Carboxypeptidase A1,
P15086,CPB1,Carboxypeptidase B,
P15090,FABP4,Fatty acid-binding protein,
P15121,AKR1B1,Aldo-keto reductase family 1 member B1,
P15144,ANPEP,Aminopeptidase N,
P15151,PVR,Poliovirus receptor,
P15170,GSPT1,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,
P15172,MYOD1,Myoblast determination protein 1,
P15248,IL9,Interleukin-9,
P15260,IFNGR1,Interferon gamma receptor 1,
P15291,B4GALT1,Beta-1,
P15309,ACP3,Prostatic acid phosphatase,
P15311,EZR,Ezrin,
P15328,FOLR1,Folate receptor alpha,
P15336,ATF2,Cyclic AMP-dependent transcription factor ATF-2,
P15382,KCNE1,Potassium voltage-gated channel subfamily E member 1,
P15502,ELN,Elastin,
P15509,CSF2RA,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,
P15514,AREG,Amphiregulin,
P15529,CD46,Membrane cofactor protein,
P15531,NME1,Nucleoside diphosphate kinase A,
P15559,NQO1,NAD(P)H dehydrogenase [quinone] 1,
P15692,VEGFA,Vascular endothelial growth factor A,
P15848,ARSB,Arylsulfatase B,
P15907,ST6GAL1,Beta-galactoside alpha-2,
P15927,RPA2,Replication protein A 32 kDa subunit,
P15941,MUC1,Mucin-1,
P16035,TIMP2,Metalloproteinase inhibitor 2,
P16066,NPR1,Atrial natriuretic peptide receptor 1,
P16109,SELP,P-selectin,
P16112,ACAN,Aggrecan core protein,
P16118,PFKFB1,6-phosphofructo-2-kinase/fructose-2,
P16150,SPN,Leukosialin,
P16233,PNLIP,Pancreatic triacylglycerol lipase,
P16234,PDGFRA,Platelet-derived growth factor receptor alpha,
P16278,GLB1,Beta-galactosidase,
P16284,PECAM1,Platelet endothelial cell adhesion molecule,
P16383,GCFC2,Intron Large complex component GCFC2,
P16410,CTLA4,Cytotoxic T-lymphocyte protein 4,
P16422,EPCAM,Epithelial cell adhesion molecule,
P16442,ABO,Histo-blood group ABO system transferase,
P16444,DPEP1,Dipeptidase 1,
P16455,MGMT,Methylated-DNA--protein-cysteine methyltransferase,
P16562,CRISP2,Cysteine-rich secretory protein 2,
P16581,SELE,E-selectin,
P16671,CD36,Platelet glycoprotein 4,
P16860,NPPB,Natriuretic peptides B,
P16870,CPE,Carboxypeptidase E,
P16871,IL7R,Interleukin-7 receptor subunit alpha,
P17010,ZFX,Zinc finger X-chromosomal protein,
P17050,NAGA,Alpha-N-acetylgalactosaminidase,
P17174,GOT1,Aspartate aminotransferase,
P17181,IFNAR1,Interferon alpha/beta receptor 1,
P17213,BPI,Bactericidal permeability-increasing protein,
P17302,GJA1,Gap junction alpha-1 protein,
P17405,SMPD1,Sphingomyelin phosphodiesterase,
P17480,UBTF,Nucleolar transcription factor 1,
P17483,HOXB4,Homeobox protein Hox-B4,
P17516,AKR1C4,Aldo-keto reductase family 1 member C4,
P17538,CTRB1,Chymotrypsinogen B,
P17568,NDUFB7,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7,
P17643,TYRP1,5,
P17676,CEBPB,CCAAT/enhancer-binding protein beta,
P17677,GAP43,Neuromodulin,
P17706,PTPN2,Tyrosine-protein phosphatase non-receptor type 2,
P17812,CTPS1,CTP synthase 1,
P17813,ENG,Endoglin,
P17900,GM2A,Ganglioside GM2 activator,
P17927,CR1,Complement receptor type 1,
P17931,LGALS3,Galectin-3,
P17936,IGFBP3,Insulin-like growth factor-binding protein 3,
P17948,FLT1,Vascular endothelial growth factor receptor 1,
P17980,PSMC3,26S proteasome regulatory subunit 6A,
P18031,PTPN1,Tyrosine-protein phosphatase non-receptor type 1,
P18065,IGFBP2,Insulin-like growth factor-binding protein 2,
P18075,BMP7,Bone morphogenetic protein 7,
P18084,ITGB5,Integrin beta-5,
P18428,LBP,Lipopolysaccharide-binding protein,
P18433,PTPRA,Receptor-type tyrosine-protein phosphatase alpha,
P18510,IL1RN,Interleukin-1 receptor antagonist protein,
P18564,ITGB6,Integrin beta-6,
P18627,LAG3,Lymphocyte activation gene 3 protein,
P18754,RCC1,Regulator of chromosome condensation,
P18827,SDC1,Syndecan-1,
P18846,ATF1,Cyclic AMP-dependent transcription factor ATF-1,
P18847,ATF3,Cyclic AMP-dependent transcription factor ATF-3,
P18848,ATF4,Cyclic AMP-dependent transcription factor ATF-4,
P18887,XRCC1,DNA repair protein XRCC1,
P19021,PAM,Peptidyl-glycine alpha-amidating monooxygenase,
P19022,CDH2,Cadherin-2,
P19075,TSPAN8,Tetraspanin-8,
P19174,PLCG1,1-phosphatidylinositol 4,
P19256,CD58,Lymphocyte function-associated antigen 3,
P19320,VCAM1,Vascular cell adhesion protein 1,
P19429,TNNI3,Troponin I,
P19438,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,
P19440,GGT1,Glutathione hydrolase 1 proenzyme,
P19474,TRIM21,E3 ubiquitin-protein ligase TRIM21,
P19484,TFEB,Transcription factor EB,
P19525,EIF2AK2,Interferon-induced,
P19526,FUT1,Galactoside alpha-(1,
P19544,WT1,Wilms tumor protein,
P19622,EN2,Homeobox protein engrailed-2,
P19801,AOC1,Diamine oxidase [copper-containing],
P19827,ITIH1,Inter-alpha-trypsin inhibitor heavy chain H1,
P19838,NFKB1,Nuclear factor NF-kappa-B p105 subunit,
P19876,CXCL3,C-X-C motif chemokine 3,
P19878,NCF2,Neutrophil cytosol factor 2,
P19883,FST,Follistatin,
P19957,PI3,Elafin,
P19971,TYMP,Thymidine phosphorylase,
P20023,CR2,Complement receptor type 2,
P20042,EIF2S2,Eukaryotic translation initiation factor 2 subunit 2,
P20061,TCN1,Transcobalamin-1,
P20062,TCN2,Transcobalamin-2,
P20138,CD33,Myeloid cell surface antigen CD33,
P20155,SPINK2,Serine protease inhibitor Kazal-type 2,
P20160,AZU1,Azurocidin,
P20273,CD22,B-cell receptor CD22,
P20309,CHRM3,Muscarinic acetylcholine receptor M3,
P20333,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,
P20337,RAB3B,Ras-related protein Rab-3B,
P20382,PMCH,Pro-MCH,
P20472,PVALB,Parvalbumin alpha,
P20645,M6PR,Cation-dependent mannose-6-phosphate receptor,
P20700,LMNB1,Lamin-B1,
P20701,ITGAL,Integrin alpha-L,
P20702,ITGAX,Integrin alpha-X,
P20711,DDC,Aromatic-L-amino-acid decarboxylase,
P20718,GZMH,Granzyme H,
P20742,PZP,Pregnancy zone protein,
P20774,OGN,Mimecan,
P20783,NTF3,Neurotrophin-3,
P20794,MAK,Serine/threonine-protein kinase MAK,
P20807,CAPN3,Calpain-3,
P20809,IL11,Interleukin-11,
P20810,CAST,Calpastatin,
P20823,HNF1A,Hepatocyte nuclear factor 1-alpha,
P20827,EFNA1,Ephrin-A1,
P20849,COL9A1,Collagen alpha-1(IX) chain,
P20851,C4BPB,C4b-binding protein beta chain,
P20908,COL5A1,Collagen alpha-1(V) chain,
P20916,MAG,Myelin-associated glycoprotein,
P20929,NEB,Nebulin,
P20936,RASA1,Ras GTPase-activating protein 1,
P20941,PDC,Phosducin,
P21128,ENDOU,Uridylate-specific endoribonuclease,
P21246,PTN,Pleiotrophin,
P21549,AGXT,Alanine--glyoxylate aminotransferase,
P21579,SYT1,Synaptotagmin-1,
P21583,KITLG,Kit ligand,
P21589,NT5E,5'-nucleotidase,
P21673,SAT1,Diamine acetyltransferase 1,
P21695,GPD1,Glycerol-3-phosphate dehydrogenase [NAD(+)],
P21709,EPHA1,Ephrin type-A receptor 1,
P21741,MDK,Midkine,
P21754,ZP3,Zona pellucida sperm-binding protein 3,
P21757,MSR1,Macrophage scavenger receptor types I and II,
P21781,FGF7,Fibroblast growth factor 7,
P21802,FGFR2,Fibroblast growth factor receptor 2,
P21810,BGN,Biglycan,
P21817,RYR1,Ryanodine receptor 1,
P21854,CD72,B-cell differentiation antigen CD72,
P21860,ERBB3,Receptor tyrosine-protein kinase erbB-3,
P21912,SDHB,Succinate dehydrogenase [ubiquinone] iron-sulfur subunit,
P21964,COMT,Catechol O-methyltransferase,
P21980,TGM2,Protein-glutamine gamma-glutamyltransferase 2,
P22001,KCNA3,Potassium voltage-gated channel subfamily A member 3,
P22004,BMP6,Bone morphogenetic protein 6,
P22033,MMUT,Methylmalonyl-CoA mutase,
P22079,LPO,Lactoperoxidase,
P22102,GART,Trifunctional purine biosynthetic protein adenosine-3,
P22105,TNXB,Tenascin-X,
P22223,CDH3,Cadherin-3,
P22301,IL10,Interleukin-10,
P22303,ACHE,Acetylcholinesterase,
P22304,IDS,Iduronate 2-sulfatase,
P22307,SCP2,Sterol carrier protein 2,
P22314,UBA1,Ubiquitin-like modifier-activating enzyme 1,
P22362,CCL1,C-C motif chemokine 1,
P22413,ENPP1,Ectonucleotide pyrophosphatase/phosphodiesterase family member 1,
P22455,FGFR4,Fibroblast growth factor receptor 4,
P22466,GAL,Galanin peptides,
P22492,H1-6,Histone H1t,
P22528,SPRR1B,Cornifin-B,
P22570,FDXR,NADPH:adrenodoxin oxidoreductase,
P22676,CALB2,Calretinin,
P22692,IGFBP4,Insulin-like growth factor-binding protein 4,
P22748,CA4,Carbonic anhydrase 4,
P22749,GNLY,Granulysin,
P22792,CPN2,Carboxypeptidase N subunit 2,
P22894,MMP8,Neutrophil collagenase,
P22897,MRC1,Macrophage mannose receptor 1,
P23141,CES1,Liver carboxylesterase 1,
P23229,ITGA6,Integrin alpha-6,
P23276,KEL,Kell blood group glycoprotein,
P23280,CA6,Carbonic anhydrase 6,
P23284,PPIB,Peptidyl-prolyl cis-trans isomerase B,
P23327,HRC,Sarcoplasmic reticulum histidine-rich calcium-binding protein,
P23352,ANOS1,Anosmin-1,
P23381,WARS1,Tryptophan--tRNA ligase,
P23435,CBLN1,Cerebellin-1,
P23467,PTPRB,Receptor-type tyrosine-protein phosphatase beta,
P23471,PTPRZ1,Receptor-type tyrosine-protein phosphatase zeta,
P23511,NFYA,Nuclear transcription factor Y subunit alpha,
P23515,OMG,Oligodendrocyte-myelin glycoprotein,
P23526,AHCY,Adenosylhomocysteinase,
P23560,BDNF,Brain-derived neurotrophic factor,
P23582,NPPC,C-type natriuretic peptide,
P23588,EIF4B,Eukaryotic translation initiation factor 4B,
P23634,ATP2B4,Plasma membrane calcium-transporting ATPase 4,
P23677,ITPKA,Inositol-trisphosphate 3-kinase A,
P23743,DGKA,Diacylglycerol kinase alpha,
P23771,GATA3,Trans-acting T-cell-specific transcription factor GATA-3,
P23919,DTYMK,Thymidylate kinase,
P24001,IL32,Interleukin-32,
P24071,FCAR,Immunoglobulin alpha Fc receptor,
P24158,PRTN3,Myeloblastin,
P24385,CCND1,G1/S-specific cyclin-D1,
P24386,CHM,Rab proteins geranylgeranyltransferase component A 1,
P24387,CRHBP,Corticotropin-releasing factor-binding protein,
P24394,IL4R,Interleukin-4 receptor subunit alpha,
P24530,EDNRB,Endothelin receptor type B,
P24588,AKAP5,A-kinase anchor protein 5,
P24592,IGFBP6,Insulin-like growth factor-binding protein 6,
P24666,ACP1,Low molecular weight phosphotyrosine protein phosphatase,
P24821,TNC,Tenascin,
P24855,DNASE1,Deoxyribonuclease-1,
P24864,CCNE1,G1/S-specific cyclin-E1,
P25092,GUCY2C,Guanylyl cyclase C,
P25116,F2R,Proteinase-activated receptor 1,
P25325,MPST,3-mercaptopyruvate sulfurtransferase,
P25391,LAMA1,Laminin subunit alpha-1,
P25398,RPS12,Small ribosomal subunit protein eS12,
P25440,BRD2,Bromodomain-containing protein 2,
P25445,FAS,Tumor necrosis factor receptor superfamily member 6,
P25490,YY1,Transcriptional repressor protein YY1,
P25685,DNAJB1,DnaJ homolog subfamily B member 1,
P25686,DNAJB2,DnaJ homolog subfamily B member 2,
P25774,CTSS,Cathepsin S,
P25786,PSMA1,Proteasome subunit alpha type-1,
P25787,PSMA2,Proteasome subunit alpha type-2,
P25815,S100P,Protein S100-P,
P25942,CD40,Tumor necrosis factor receptor superfamily member 5,
P26010,ITGB7,Integrin beta-7,
P26022,PTX3,Pentraxin-related protein PTX3,
P26232,CTNNA2,Catenin alpha-2,
P26378,ELAVL4,ELAV-like protein 4,
P26436,ACRV1,Acrosomal protein SP-10,
P26440,IVD,Isovaleryl-CoA dehydrogenase,
P26441,CNTF,Ciliary neurotrophic factor,
P26447,S100A4,Protein S100-A4,
P26715,KLRC1,NKG2-A/NKG2-B type II integral membrane protein,
P26718,KLRK1,NKG2-D type II integral membrane protein,
P26842,CD27,CD27 antigen,
P26927,MST1,Hepatocyte growth factor-like protein,
P26951,IL3RA,Interleukin-3 receptor subunit alpha,
P27144,AK4,Adenylate kinase 4,
P27169,PON1,Serum paraoxonase/arylesterase 1,
P27348,YWHAQ,14-3-3 protein theta,
P27352,CBLIF,Cobalamin binding intrinsic factor,
P27448,MARK3,MAP/microtubule affinity-regulating kinase 3,
P27487,DPP4,Dipeptidyl peptidase 4,
P27540,ARNT,Aryl hydrocarbon receptor nuclear translocator,
P27695,APEX1,DNA repair nuclease/redox regulator APEX1,
P27701,CD82,CD82 antigen,
P27918,CFP,Properdin,
P27930,IL1R2,Interleukin-1 receptor type 2,
P28222,HTR1B,5-hydroxytryptamine receptor 1B,
P28223,HTR2A,5-hydroxytryptamine receptor 2A,
P28290,ITPRID2,Protein ITPRID2,
P28325,CST5,Cystatin-D,
P28356,HOXD9,Homeobox protein Hox-D9,
P28370,SMARCA1,Probable global transcription activator SNF2L1,
P28799,GRN,Progranulin,
P28838,LAP3,Cytosol aminopeptidase,
P28845,HSD11B1,11-beta-hydroxysteroid dehydrogenase 1,
P28906,CD34,Hematopoietic progenitor cell antigen CD34,
P28907,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,
P28908,TNFRSF8,Tumor necrosis factor receptor superfamily member 8,
P29017,CD1C,T-cell surface glycoprotein CD1c,
P29218,IMPA1,Inositol monophosphatase 1,
P29279,CCN2,CCN family member 2,
P29317,EPHA2,Ephrin type-A receptor 2,
P29320,EPHA3,Ephrin type-A receptor 3,
P29350,PTPN6,Tyrosine-protein phosphatase non-receptor type 6,
P29353,SHC1,SHC-transforming protein 1,
P29372,MPG,DNA-3-methyladenine glycosylase,
P29375,KDM5A,Lysine-specific demethylase 5A,
P29376,LTK,Leukocyte tyrosine kinase receptor,
P29377,S100G,Protein S100-G,
P29460,IL12B,Interleukin-12 subunit beta,
P29466,CASP1,Caspase-1,
P29474,NOS3,Nitric oxide synthase 3,
P29475,NOS1,Nitric oxide synthase 1,
P29536,LMOD1,Leiomodin-1,
P29622,SERPINA4,Kallistatin,
P29692,EEF1D,Elongation factor 1-delta,
P29965,CD40LG,CD40 ligand,
P29972,AQP1,Aquaporin-1,
P30039,PBLD,Phenazine biosynthesis-like domain-containing protein,
P30040,ERP29,Endoplasmic reticulum resident protein 29,
P30041,PRDX6,Peroxiredoxin-6,
P30043,BLVRB,Flavin reductase (NADPH),
P30044,PRDX5,Peroxiredoxin-5,
P30046,DDT,D-dopachrome decarboxylase,
P30047,GCHFR,GTP cyclohydrolase 1 feedback regulatory protein,
P30048,PRDX3,Thioredoxin-dependent peroxide reductase,
P30049,ATP5F1D,ATP synthase subunit delta,
P30084,ECHS1,Enoyl-CoA hydratase,
P30086,PEBP1,Phosphatidylethanolamine-binding protein 1,
P30101,PDIA3,Protein disulfide-isomerase A3,
P30203,CD6,T-cell differentiation antigen CD6,
P30260,CDC27,Cell division cycle protein 27 homolog,
P30279,CCND2,G1/S-specific cyclin-D2,
P30304,CDC25A,M-phase inducer phosphatase 1,
P30307,CDC25C,M-phase inducer phosphatase 3,
P30405,PPIF,Peptidyl-prolyl cis-trans isomerase F,
P30419,NMT1,Glycylpeptide N-tetradecanoyltransferase 1,
P30519,HMOX2,Heme oxygenase 2,
P30530,AXL,Tyrosine-protein kinase receptor UFO,
P30533,LRPAP1,Alpha-2-macroglobulin receptor-associated protein,
P30566,ADSL,Adenylosuccinate lyase,
P30613,PKLR,Pyruvate kinase PKLR,
P30740,SERPINB1,Leukocyte elastase inhibitor,
P30838,ALDH3A1,Aldehyde dehydrogenase,
P31040,SDHA,Succinate dehydrogenase [ubiquinone] flavoprotein subunit,
P31146,CORO1A,Coronin-1A,
P31152,MAPK4,Mitogen-activated protein kinase 4,
P31314,TLX1,T-cell leukemia homeobox protein 1,
P31321,PRKAR1B,cAMP-dependent protein kinase type I-beta regulatory subunit,
P31350,RRM2,Ribonucleoside-diphosphate reductase subunit M2,
P31371,FGF9,Fibroblast growth factor 9,
P31431,SDC4,Syndecan-4,
P31483,TIA1,Cytotoxic granule associated RNA binding protein TIA1,
P31629,HIVEP2,Transcription factor HIVEP2,
P31689,DNAJA1,DnaJ homolog subfamily A member 1,
P31751,AKT2,RAC-beta serine/threonine-protein kinase,
P31785,IL2RG,Cytokine receptor common subunit gamma,
P31948,STIP1,Stress-induced-phosphoprotein 1,
P31949,S100A11,Protein S100-A11,
P31994,FCGR2B,Low affinity immunoglobulin gamma Fc region receptor II-b,
P31997,CEACAM8,Carcinoembryonic antigen-related cell adhesion molecule 8,
P32004,L1CAM,Neural cell adhesion molecule L1,
P32119,PRDX2,Peroxiredoxin-2,
P32241,VIPR1,Vasoactive intestinal polypeptide receptor 1,
P32298,GRK4,G protein-coupled receptor kinase 4,
P32320,CDA,Cytidine deaminase,
P32321,DCTD,Deoxycytidylate deaminase,
P32455,GBP1,Guanylate-binding protein 1,
P32456,GBP2,Guanylate-binding protein 2,
P32745,SSTR3,Somatostatin receptor type 3,
P32754,HPD,4-hydroxyphenylpyruvate dioxygenase,
P32856,STX2,Syntaxin-2,
P32926,DSG3,Desmoglein-3,
P32927,CSF2RB,Cytokine receptor common subunit beta,
P32929,CTH,Cystathionine gamma-lyase,
P32942,ICAM3,Intercellular adhesion molecule 3,
P32970,CD70,CD70 antigen,
P32971,TNFSF8,Tumor necrosis factor ligand superfamily member 8,
P33121,ACSL1,Long-chain-fatty-acid--CoA ligase 1,
P33151,CDH5,Cadherin-5,
P33241,LSP1,Lymphocyte-specific protein 1,
P33316,DUT,Deoxyuridine 5'-triphosphate nucleotidohydrolase,
P33681,CD80,T-lymphocyte activation antigen CD80,
P33763,S100A5,Protein S100-A5,
P33764,S100A3,Protein S100-A3,
P34096,RNASE4,Ribonuclease 4,
P34130,NTF4,Neurotrophin-4,
P34896,SHMT1,Serine hydroxymethyltransferase,
P34897,SHMT2,Serine hydroxymethyltransferase,
P34910,EVI2B,Protein EVI2B,
P34913,EPHX2,Bifunctional epoxide hydrolase 2,
P34925,RYK,Tyrosine-protein kinase RYK,
P34947,GRK5,G protein-coupled receptor kinase 5,
P34949,MPI,Mannose-6-phosphate isomerase,
P34998,CRHR1,Corticotropin-releasing factor receptor 1,
P35052,GPC1,Glypican-1,
P35070,BTC,Probetacellulin,
P35218,CA5A,Carbonic anhydrase 5A,
P35219,CA8,Carbonic anhydrase-related protein,
P35221,CTNNA1,Catenin alpha-1,
P35225,IL13,Interleukin-13,
P35226,BMI1,Polycomb complex protein BMI-1,
P35228,NOS2,Nitric oxide synthase,
P35237,SERPINB6,Serpin B6,
P35247,SFTPD,Pulmonary surfactant-associated protein D,
P35249,RFC4,Replication factor C subunit 4,
P35251,RFC1,Replication factor C subunit 1,
P35269,GTF2F1,General transcription factor IIF subunit 1,
P35318,ADM,Pro-adrenomedullin,
P35367,HRH1,Histamine H1 receptor,
P35398,RORA,Nuclear receptor ROR-alpha,
P35442,THBS2,Thrombospondin-2,
P35443,THBS4,Thrombospondin-4,
P35475,IDUA,Alpha-L-iduronidase,
P35499,SCN4A,Sodium channel protein type 4 subunit alpha,
P35520,CBS,Cystathionine beta-synthase,
P35542,SAA4,Serum amyloid A-4 protein,
P35548,MSX2,Homeobox protein MSX-2,
P35556,FBN2,Fibrillin-2,
P35557,GCK,Hexokinase-4,
P35579,MYH9,Myosin-9,
P35580,MYH10,Myosin-10,
P35590,TIE1,Tyrosine-protein kinase receptor Tie-1,
P35606,COPB2,Coatomer subunit beta',
P35609,ACTN2,Alpha-actinin-2,
P35611,ADD1,Alpha-adducin,
P35612,ADD2,Beta-adducin,
P35613,BSG,Basigin,
P35625,TIMP3,Metalloproteinase inhibitor 3,
P35626,GRK3,G protein-coupled receptor kinase 3,
P35637,FUS,RNA-binding protein FUS,
P35638,DDIT3,DNA damage-inducible transcript 3 protein,
P35712,SOX6,Transcription factor SOX-6,
P35754,GLRX,Glutaredoxin-1,
P35813,PPM1A,Protein phosphatase 1A,
P35900,KRT20,Keratin,
P35913,PDE6B,Rod cGMP-specific 3',
P35914,HMGCL,Hydroxymethylglutaryl-CoA lyase,
P35916,FLT4,Vascular endothelial growth factor receptor 3,
P35968,KDR,Vascular endothelial growth factor receptor 2,
P36222,CHI3L1,Chitinase-3-like protein 1,
P36269,GGT5,Glutathione hydrolase 5 proenzyme,
P36551,CPOX,Oxygen-dependent coproporphyrinogen-III oxidase,
P36575,ARR3,Arrestin-C,
P36776,LONP1,Lon protease homolog,
P36873,PPP1CC,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit,
P36888,FLT3,Receptor-type tyrosine-protein kinase FLT3,
P36897,TGFBR1,TGF-beta receptor type-1,
P36941,LTBR,Tumor necrosis factor receptor superfamily member 3,
P36952,SERPINB5,Serpin B5,
P36955,SERPINF1,Pigment epithelium-derived factor,
P36957,DLST,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,
P36959,GMPR,GMP reductase 1,
P36969,GPX4,Phospholipid hydroperoxide glutathione peroxidase GPX4,
P36980,CFHR2,Complement factor H-related protein 2,
P37023,ACVRL1,Serine/threonine-protein kinase receptor R3,
P37058,HSD17B3,17-beta-hydroxysteroid dehydrogenase type 3,
P37059,HSD17B2,17-beta-hydroxysteroid dehydrogenase type 2,
P37108,SRP14,Signal recognition particle 14 kDa protein,
P37173,TGFBR2,TGF-beta receptor type-2,
P37235,HPCAL1,Hippocalcin-like protein 1,
P37837,TALDO1,Transaldolase,
P37840,SNCA,Alpha-synuclein,
P38484,IFNGR2,Interferon gamma receptor 2,
P38935,IGHMBP2,DNA-binding protein SMUBP-2,
P38936,CDKN1A,Cyclin-dependent kinase inhibitor 1,
P39059,COL15A1,Collagen alpha-1(XV) chain,
P39060,COL18A1,Collagen alpha-1(XVIII) chain,
P39748,FEN1,Flap endonuclease 1,
P39900,MMP12,Macrophage metalloelastase,
P39905,GDNF,Glial cell line-derived neurotrophic factor,
P40121,CAPG,Macrophage-capping protein,
P40123,CAP2,Adenylyl cyclase-associated protein 2,
P40189,IL6ST,Interleukin-6 receptor subunit beta,
P40197,GP5,Platelet glycoprotein V,
P40198,CEACAM3,Carcinoembryonic antigen-related cell adhesion molecule 3,
P40199,CEACAM6,Carcinoembryonic antigen-related cell adhesion molecule 6,
P40222,TXLNA,Alpha-taxilin,
P40225,THPO,Thrombopoietin,
P40259,CD79B,B-cell antigen receptor complex-associated protein beta chain,
P40313,CTRL,Chymotrypsin-like protease CTRL-1,
P40424,PBX1,Pre-B-cell leukemia transcription factor 1,
P40818,USP8,Ubiquitin carboxyl-terminal hydrolase 8,
P40855,PEX19,Peroxisomal biogenesis factor 19,
P40925,MDH1,Malate dehydrogenase,
P40933,IL15,Interleukin-15,
P41159,LEP,Leptin,
P41208,CETN2,Centrin-2,
P41214,EIF2D,Eukaryotic translation initiation factor 2D,
P41217,CD200,OX-2 membrane glycoprotein,
P41218,MNDA,Myeloid cell nuclear differentiation antigen,
P41219,PRPH,Peripherin,
P41222,PTGDS,Prostaglandin-H2 D-isomerase,
P41227,NAA10,N-alpha-acetyltransferase 10,
P41235,HNF4A,Hepatocyte nuclear factor 4-alpha,
P41236,PPP1R2,Protein phosphatase inhibitor 2,
P41271,NBL1,Neuroblastoma suppressor of tumorigenicity 1,
P41273,TNFSF9,Tumor necrosis factor ligand superfamily member 9,
P41439,FOLR3,Folate receptor gamma,
P41440,SLC19A1,Reduced folate transporter,
P41586,ADCYAP1R1,Pituitary adenylate cyclase-activating polypeptide type I receptor,
P41732,TSPAN7,Tetraspanin-7,
P41743,PRKCI,Protein kinase C iota type,
P42081,CD86,T-lymphocyte activation antigen CD86,
P42126,ECI1,Enoyl-CoA delta isomerase 1,
P42224,STAT1,Signal transducer and activator of transcription 1-alpha/beta,
P42331,ARHGAP25,Rho GTPase-activating protein 25,
P42574,CASP3,Caspase-3,
P42575,CASP2,Caspase-2,
P42658,DPP6,Dipeptidyl aminopeptidase-like protein 6,
P42681,TXK,Tyrosine-protein kinase TXK,
P42701,IL12RB1,Interleukin-12 receptor subunit beta-1,
P42702,LIFR,Leukemia inhibitory factor receptor,
P42768,WAS,Actin nucleation-promoting factor WAS,
P42785,PRCP,Lysosomal Pro-X carboxypeptidase,
P42830,CXCL5,C-X-C motif chemokine 5,
P42857,NSG1,Neuronal vesicle trafficking-associated protein 1,
P42892,ECE1,Endothelin-converting enzyme 1,
P43007,SLC1A4,Neutral amino acid transporter A,
P43080,GUCA1A,Guanylyl cyclase-activating protein 1,
P43121,MCAM,Cell surface glycoprotein MUC18,
P43146,DCC,Netrin receptor DCC,
P43166,CA7,Carbonic anhydrase 7,
P43220,GLP1R,Glucagon-like peptide 1 receptor,
P43234,CTSO,Cathepsin O,
P43251,BTD,Biotinidase,
P43268,ETV4,ETS translocation variant 4,
P43307,SSR1,Translocon-associated protein subunit alpha,
P43320,CRYBB2,Beta-crystallin B2,
P43355,MAGEA1,Melanoma-associated antigen 1,
P43358,MAGEA4,Melanoma-associated antigen 4,
P43362,MAGEA9,,
P43378,PTPN9,Tyrosine-protein phosphatase non-receptor type 9,
P43405,SYK,Tyrosine-protein kinase SYK,
P43487,RANBP1,Ran-specific GTPase-activating protein,
P43489,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,
P43490,NAMPT,Nicotinamide phosphoribosyltransferase,
P43629,KIR3DL1,Killer cell immunoglobulin-like receptor 3DL1,
P43630,KIR3DL2,Killer cell immunoglobulin-like receptor 3DL2,
P43652,AFM,Afamin,
P45379,TNNT2,Troponin T,
P45452,MMP13,Collagenase 3,
P45954,ACADSB,Short/branched chain specific acyl-CoA dehydrogenase,
P45984,MAPK9,Mitogen-activated protein kinase 9,
P46013,MKI67,Proliferation marker protein Ki-67,
P46060,RANGAP1,Ran GTPase-activating protein 1,
P46100,ATRX,Transcriptional regulator ATRX,
P46109,CRKL,Crk-like protein,
P46199,MTIF2,Translation initiation factor IF-2,
P46379,BAG6,Large proline-rich protein BAG6,
P46531,NOTCH1,Neurogenic locus notch homolog protein 1,
P46777,RPL5,Large ribosomal subunit protein uL18,
P46783,RPS10,Small ribosomal subunit protein eS10,
P46926,GNPDA1,Glucosamine-6-phosphate isomerase 1,
P46952,HAAO,3-hydroxyanthranilate 3,
P47710,CSN1S1,Alpha-S1-casein,
P47712,PLA2G4A,Cytosolic phospholipase A2,
P47736,RAP1GAP,Rap1 GTPase-activating protein 1,
P47813,EIF1AX,Eukaryotic translation initiation factor 1A,
